figure_id,What is the level of RNA expression?,What is the level of protein expression?,"If there is RNA expression, what patterns does the RNA make?","If there is protein expression, what patterns does the protein make?",Nascent transcript level,Cytosolic RNA level,Is there obvious RNA/protein discordance (whole image)?,Flag this gene as a potential one to use for a figure in the paper?,Is RNA present in soma?,Is protein present in soma?,Is RNA present in midline glia?,Is protein present in midline glia?,Is RNA present in neuropil?,Is protein present in neuropil?,Is figure quality too poor?,General comments
2137987,Low,Moderate,Single transcripts,Other,Low,Low,No,No,Yes,Yes,N/A,No,No,No,No,Protein expression localised to nuclear envelope
2138447,Low,Low,Single transcripts,Cell type specific,High,Low,Yes,No,Yes,No,Yes,Yes,Yes,No,No,
2138536,Moderate,Moderate,More in some cells than others,Nuclear,Moderate,Low,No,No,Yes,Yes,N/A,No,No,No,No,
2138379,Moderate,Moderate,Evenly distributed	Single transcripts,Cytoplasmic,Moderate,Moderate,No,No,Yes,Yes,Yes,Yes,Yes,No,No,
2138555,Low,Low,Evenly distributed,Cytoplasmic,Low,Low,Yes,No,Yes,Yes,Yes,No,No,No,No,
2138463,Low,Low,Single transcripts,Nuclear	Diffuse	Cytoplasmic,Moderate,Low,Yes,No,Yes,Yes,N/A,No,Yes,No,No,Cell bodies - Protein channel shows a wrong field of view
2138512,Moderate,Moderate,,Nuclear	Cytoplasmic,High,Low,No,No,Yes,Yes,Yes,No,Yes,Yes,No,
2138412,High,Moderate,Evenly distributed,Punctate	Diffuse	Cytoplasmic,High,Moderate,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,
2138804,High,High,Evenly distributed,Diffuse	Large aggregations	Cytoplasmic,Low,High,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,
2138023,Moderate,Moderate,More in some cells than others,Large aggregations	Cytoplasmic	Cell type specific,Moderate,Low,Yes,No,Yes,Yes,No,No,No,No,No,
2138916,None,None,,,None,None,No,No,No,No,No,No,No,No,No,
2140680,Moderate,Low,,Large aggregations	Cytoplasmic,None,None,Yes,No,Yes,Yes,Yes,No,Yes,No,No,
2137909,Low,Low,Single transcripts,Punctate	Cytoplasmic,Low,Low,No,No,Yes,No,N/A,No,Yes,Yes,Yes,Figure doesn't show neuropils properly
2138808,Moderate,None,Evenly distributed,Punctate	Cytoplasmic,Moderate,Low,No,No,Yes,Yes,Yes,Yes,No,Yes,No,
2138820,Moderate,High,Evenly distributed,Nuclear,Moderate,Low,No,No,Yes,Yes,Yes,Yes,No,No,No,
2138735,High,High,Evenly distributed,Large aggregations	Cytoplasmic,Moderate,High,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,
2138119,Low,Low,Single transcripts,Punctate	Cytoplasmic,Low,Low,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,
2138748,Low,Moderate,Single transcripts,Cytoplasmic,Moderate,Low,No,No,Yes,Yes,Yes,Yes,No,Yes,No,
2138656,Low,None,Single transcripts,,Low,Low,No,No,Yes,No,Yes,No,Yes,No,No,
2138943,High,High,Evenly distributed,Nuclear	Cytoplasmic,High,Moderate,No,No,Yes,Yes,N/A,No,Yes,Yes,No,
2138727,Moderate,Moderate,More in some cells than others,Nuclear	Cytoplasmic,High,Moderate,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,
2138639,High,Moderate,Evenly distributed,Nuclear,High,Moderate,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,
2138015,High,Moderate,More in some cells than others,Cytoplasmic	Cell type specific,High,High,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,
2137968,Moderate,Moderate,More in some cells than others,Cytoplasmic,Moderate,Moderate,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,
2138762,Moderate,High,More in some cells than others,Cytoplasmic,Low,Low,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,
2138869,High,High,Evenly distributed,Cell edges	Cytoplasmic	Other,High,Moderate,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,"Differential translation. 
Protein localised to nuclear and plasma membranes + neurite cytoplasm. "
2137964,Moderate,Moderate,Evenly distributed,Diffuse	Cytoplasmic,High,Moderate,No,No,Yes,Yes,No,No,Yes,Yes,No,
2138806,Low,Moderate,Single transcripts	More in some cells than others,Cell type specific,Low,Low,Yes,No,Yes,No,Yes,Yes,No,No,No,
2138042,Moderate,Moderate,Evenly distributed,Cytoplasmic,High,Low,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,
2137931,Moderate,Moderate,Evenly distributed,Punctate	Large aggregations	Cytoplasmic,Low,Moderate,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,
2138746,None,None,,,None,None,No,No,No,No,No,No,No,No,No,
2138017,High,High,Evenly distributed,Nuclear,Moderate,High,No,No,Yes,Yes,N/A,No,No,No,No,
2138625,Low,Low,Single transcripts,Cell type specific,High,Low,Yes,Yes,Yes,No,Yes,No,Yes,No,No,
2138841,High,High,Evenly distributed,Cytoplasmic,Low,Moderate,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,
2138066,Low,Low,Single transcripts	More in some cells than others,Cytoplasmic,Low,Low,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,
2138580,None,None,,,None,None,No,No,No,No,No,No,No,No,No,
2137782,Moderate,Low,More in some cells than others,Large aggregations	Cytoplasmic,Moderate,Low,Yes,No,Yes,Yes,N/A,No,Yes,Yes,No,
2137997,Moderate,High,Single transcripts,Cytoplasmic	Cell type specific,None,None,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,
2138683,Low,None,Evenly distributed,,Low,Low,Yes,No,Yes,No,Yes,No,No,No,No,
2138365,High,High,Evenly distributed,Nuclear	Cytoplasmic,High,High,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,
2138434,Low,None,Single transcripts,,Low,Low,Yes,No,Yes,No,No,No,No,No,No,
2137889,Low,Low,Single transcripts,Diffuse	Cytoplasmic,None,Low,No,No,Yes,Yes,Yes,No,No,No,Yes,
2138438,None,None,,,None,None,No,No,No,No,No,No,No,No,No,
2138369,Low,None,Cell type specific,Cell type specific,Low,Moderate,Yes,No,No,No,No,No,Yes,Yes,No,
2138884,High,Moderate,Evenly distributed,Large aggregations	Cytoplasmic,Moderate,High,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,
2138561,Moderate,Low,More in some cells than others,Cell edges	Cytoplasmic,Moderate,Low,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,
2138502,Low,Low,More in some cells than others,Punctate	Cytoplasmic,High,Low,Yes,No,Yes,No,Yes,No,Yes,Yes,No,
