figure_id,What is the level of RNA expression?,What is the level of protein expression?,"If there is RNA expression, what patterns does the RNA make?","If there is protein expression, what patterns does the protein make?",Nascent transcript level,Cytosolic RNA level,Is there obvious RNA/protein discordance (whole image)?,Flag this gene as a potential one to use for a figure in the paper?,Is RNA present in Kenyon cell somata?,Is protein present in Kenyon cell somata?,Is RNA present in MB lobes?,Is protein present in MB lobes?,Is RNA present in MB calyx?,Is protein present in MB calyx?,Is figure quality too poor?,General comments
2137902,Low,Moderate,Single transcripts,Diffuse,Low,Low,No,No,No,Yes,Yes,Yes,No,Yes,No,
2138128,Low,High,Single transcripts,Nuclear,High,Low,Yes,No,No,Yes,No,No,No,No,No,
2137778,High,Low,Evenly distributed,Cytoplasmic,High,High,No,No,Yes,Yes,No,Yes,Yes,Yes,No,
2138036,Low,None,Single transcripts,,Low,Low,No,No,No,No,No,No,Yes,No,Yes,
2138063,Moderate,Moderate,,Nuclear,High,Low,No,No,No,No,No,No,No,No,No,
2137945,Low,Moderate,Single transcripts,Diffuse,High,Low,No,No,No,Yes,Yes,Yes,No,Yes,No,
2137812,Low,Low,Evenly distributed,Diffuse,Moderate,Low,No,No,Yes,Yes,No,Yes,No,Yes,No,
2138057,Low,Low,Evenly distributed,"Diffuse	Cytoplasmic",Low,Low,No,No,No,Yes,Yes,Yes,No,Yes,No,
2138038,High,Moderate,Evenly distributed,"Cell edges	Diffuse",Moderate,High,Yes,No,No,Yes,Yes,Yes,No,Yes,No,
2138173,Low,Low,Single transcripts,Cytoplasmic,Low,Low,No,No,No,Yes,No,No,No,Yes,No,
2138450,Low,Low,Single transcripts,Diffuse,High,Low,No,No,No,No,No,Yes,Yes,Yes,No,
2138313,Moderate,Moderate,Evenly distributed,Diffuse,Moderate,Moderate,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,
2138521,Moderate,Moderate,More in some cells than others,Cytoplasmic,High,Moderate,No,No,No,No,No,No,No,No,No,
2138358,Low,Low,Single transcripts,Diffuse,Moderate,Low,Yes,No,No,Yes,No,Yes,No,Yes,No,
2138337,Moderate,Moderate,Evenly distributed,Diffuse,Moderate,Moderate,No,No,Yes,No,Yes,Yes,No,Yes,No,
2138505,High,Moderate,Evenly distributed,Diffuse,High,High,No,No,No,Yes,Yes,Yes,No,Yes,No,
2138329,Low,Low,Evenly distributed,"Punctate	Diffuse",Moderate,Low,Yes,No,Yes,Yes,No,Yes,No,Yes,No,
2138491,Moderate,Low,"Single transcripts	More in some cells than others","Punctate	Diffuse",High,Moderate,No,No,No,Yes,No,No,No,Yes,No,
2137979,High,High,Evenly distributed,"Diffuse	Cytoplasmic",High,High,No,No,Yes,Yes,No,No,No,No,No,
2138387,Moderate,High,Evenly distributed,"Nuclear	Diffuse",High,Moderate,No,No,No,No,Yes,No,No,No,No,
2137808,Low,High,More in some cells than others,,High,Low,Yes,No,No,No,No,Yes,No,Yes,No,
2137875,Moderate,High,More in some cells than others,Diffuse,High,Moderate,Yes,No,No,Yes,No,Yes,No,Yes,No,
2138462,High,Low,Evenly distributed,"Diffuse	Cytoplasmic",High,High,No,No,Yes,Yes,Yes,Yes,No,Yes,No,
2138250,High,Low,Evenly distributed,Cytoplasmic,Moderate,High,Yes,No,Yes,Yes,No,No,Yes,No,No,
2137986,High,High,Evenly distributed,Diffuse,Moderate,High,Yes,No,Yes,Yes,No,Yes,No,Yes,No,
2137994,None,Low,,Diffuse,None,None,No,No,No,Yes,No,Yes,No,Yes,Yes,
2138278,None,Low,,Cytoplasmic,None,None,No,No,No,No,No,Yes,No,Yes,No,
2138366,High,Moderate,Evenly distributed,Large aggregations,High,High,No,No,No,No,Yes,Yes,No,No,No,
2138437,None,Low,,Diffuse,None,None,No,No,No,No,No,Yes,No,Yes,Yes,not good quality
2138411,Moderate,Moderate,Single transcripts,Diffuse,Moderate,Moderate,No,No,No,Yes,No,Yes,Yes,Yes,No,
2138264,High,High,Evenly distributed,Nuclear,High,High,No,No,Yes,Yes,No,No,No,No,No,
2138535,None,None,,,None,None,No,No,No,No,No,No,No,No,Yes,very poor quality
2137783,Low,Low,"Single transcripts	More in some cells than others",Cytoplasmic,Low,High,No,No,No,Yes,Yes,Yes,No,Yes,No,
2137996,Low,Moderate,Evenly distributed,Diffuse,Moderate,Low,No,No,No,Yes,Yes,Yes,No,Yes,No,
2138376,High,High,Evenly distributed,"Nuclear	Cytoplasmic",Moderate,High,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,
2137984,Moderate,None,Evenly distributed,,Moderate,Moderate,No,No,No,No,No,No,No,No,No,
2138067,Low,Moderate,"Single transcripts	Other",Diffuse,Low,Low,No,No,No,Yes,No,Yes,No,Yes,No,
2138167,Low,High,Single transcripts,"Diffuse	Cytoplasmic",Low,Low,Yes,No,No,Yes,No,Yes,No,Yes,No,
2138179,Moderate,Moderate,,Diffuse,Moderate,Moderate,No,No,No,Yes,Yes,Yes,No,Yes,No,
2137977,None,Low,,Diffuse,None,None,No,No,No,Yes,No,Yes,No,No,No,
2138151,None,High,,Diffuse,None,None,Yes,No,No,Yes,No,Yes,No,Yes,No,
2138043,High,Moderate,Evenly distributed,Diffuse,High,High,Yes,No,No,Yes,No,Yes,No,Yes,No,
2138397,Moderate,Moderate,Single transcripts,Diffuse,Moderate,Moderate,No,No,No,Yes,Yes,Yes,No,Yes,No,
2138496,Low,Moderate,,Nuclear,Low,Low,No,No,No,Yes,No,No,No,Yes,Yes,
2138025,Moderate,None,More in some cells than others,,Moderate,Moderate,Yes,No,No,No,Yes,No,No,No,No,
2138392,Low,Moderate,Evenly distributed,"Punctate	Diffuse",Moderate,Low,No,No,No,Yes,No,Yes,Yes,Yes,No,
2137803,Low,Low,,Diffuse,Low,Low,Yes,No,No,Yes,No,Yes,No,Yes,No,
2137911,Moderate,None,Evenly distributed,,High,Moderate,Yes,No,Yes,No,Yes,No,Yes,No,No,
2138506,High,Moderate,Evenly distributed,Diffuse,High,High,No,No,Yes,Yes,No,Yes,Yes,Yes,No,
2138326,Moderate,Low,"Evenly distributed	Other","Nuclear	Diffuse",High,Moderate,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,unusual rna expression in lines
2138338,Moderate,Moderate,Evenly distributed,Nuclear,High,Moderate,No,No,Yes,Yes,No,No,Yes,No,No,
2138345,High,High,Evenly distributed,"Diffuse	Cytoplasmic",Moderate,High,No,No,Yes,Yes,Yes,Yes,No,Yes,No,
2137794,Low,Low,"Single transcripts	Nuclear",Cytoplasmic,High,Low,No,No,No,No,No,No,No,Yes,No,
2138516,Moderate,None,Evenly distributed,,High,Moderate,No,No,No,No,Yes,No,Yes,No,No,
2138259,Moderate,Moderate,More in some cells than others,"Diffuse	Cytoplasmic",Moderate,Moderate,No,No,No,Yes,Yes,Yes,No,No,No,
2138408,High,Low,Evenly distributed,Nuclear,High,High,No,No,No,No,Yes,Yes,Yes,No,No,
2138255,Moderate,Low,Evenly distributed,Diffuse,High,Moderate,No,No,Yes,No,No,Yes,No,No,No,
2138363,Low,None,Single transcripts,,Low,Low,No,No,No,No,No,No,No,No,No,
2137891,None,Low,,Diffuse,None,None,Yes,No,No,No,No,Yes,No,No,No,
2137788,Moderate,Moderate,Evenly distributed,"Diffuse	Large aggregations",Moderate,Moderate,Yes,No,No,No,No,Yes,No,Yes,No,
2138420,Low,Low,Single transcripts,"Punctate	Diffuse",High,Low,Yes,No,No,Yes,No,Yes,No,Yes,No,
2138443,High,Low,Evenly distributed,Diffuse,High,High,No,No,No,Yes,No,Yes,Yes,Yes,No,
2138103,Moderate,Low,Evenly distributed,Diffuse,High,Moderate,Yes,No,Yes,Yes,No,Yes,No,Yes,No,
2137765,Moderate,Moderate,Evenly distributed,Cytoplasmic,Moderate,Moderate,No,No,No,Yes,No,Yes,No,Yes,No,
2138135,Moderate,Moderate,"Evenly distributed	Other",Diffuse,High,Moderate,No,No,No,Yes,No,Yes,No,Yes,No,Unusual RNA expression in MB lobe - looks like lines
2138048,Moderate,Low,Evenly distributed,"Diffuse	Cytoplasmic",High,Moderate,No,No,No,Yes,Yes,Yes,No,Yes,No,
2138275,Low,None,More in some cells than others,,Low,Low,No,No,No,No,No,No,No,No,Yes,
2138424,High,Moderate,Evenly distributed,"Punctate	Diffuse",Moderate,High,No,No,No,Yes,Yes,Yes,No,Yes,No,
2138308,Moderate,Moderate,Evenly distributed,"Punctate	Diffuse",Moderate,Moderate,Yes,No,No,Yes,No,Yes,No,Yes,No,
2138316,Low,Moderate,Single transcripts,"Diffuse	Cytoplasmic",High,Low,Yes,No,No,No,No,Yes,No,Yes,No,
2137895,None,High,,"Cell edges	Large aggregations",None,None,Yes,No,N/A,Yes,N/A,Yes,N/A,No,No,
2138400,Moderate,Low,Single transcripts,Punctate,High,Moderate,No,No,No,Yes,Yes,Yes,No,Yes,No,
2138140,High,High,Evenly distributed,Cytoplasmic,High,High,No,No,No,Yes,Yes,Yes,Yes,No,No,
2137761,Low,None,Single transcripts,,Low,Low,Yes,No,Yes,No,No,No,No,No,No,The contrast is not very good.
2138052,Moderate,Moderate,Evenly distributed,"Punctate	Diffuse	Cytoplasmic",High,Moderate,Yes,No,No,Yes,No,Yes,No,Yes,No,
2137809,High,Moderate,Evenly distributed,Nuclear,High,High,No,No,Yes,Yes,No,No,No,No,No,
2138031,High,High,"Evenly distributed	Other","Diffuse	Cytoplasmic",High,High,Yes,No,No,Yes,Yes,Yes,No,Yes,No,"again, RNA expression looks unusual with lines of RNA expression"
2137950,Moderate,Low,Evenly distributed,Diffuse,High,Moderate,Yes,No,No,Yes,No,No,Yes,Yes,No,"This figure has unusual RNA expression as one can see some ""lines"" of expression in the cell bodies"
2138076,Low,Moderate,More in some cells than others,Diffuse,Low,Low,No,No,Yes,Yes,No,Yes,No,Yes,No,
2138033,High,High,Evenly distributed,"Cell edges	Large aggregations",High,High,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,
2138121,Moderate,Moderate,Evenly distributed,Diffuse,High,Moderate,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,
2137759,Low,Low,Single transcripts,"Diffuse	Cytoplasmic",Moderate,Low,No,No,No,No,Yes,Yes,No,No,No,
2137923,Low,None,Single transcripts,,High,Low,No,No,No,No,Yes,No,No,No,No,
2137940,High,High,Evenly distributed,Diffuse,Moderate,High,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,
2138457,Moderate,Low,,"Diffuse	Cytoplasmic",Moderate,Moderate,No,No,No,Yes,No,Yes,No,Yes,No,
2138545,Moderate,None,Evenly distributed,,Moderate,Moderate,No,No,Yes,No,No,No,No,No,Yes,
2137985,Moderate,Low,Evenly distributed,Diffuse,Moderate,Moderate,No,No,No,No,No,No,No,No,No,
2138526,Low,Low,Single transcripts,Diffuse,Moderate,Low,No,No,No,No,No,No,No,Yes,Yes,
2138426,Low,Low,Evenly distributed,Diffuse,Moderate,Low,No,No,No,Yes,Yes,Yes,No,No,No,
2138473,Moderate,High,More in some cells than others,Nuclear,Moderate,Moderate,No,No,No,No,No,No,No,Yes,No,
2138341,Moderate,Moderate,Evenly distributed,"Nuclear	Diffuse",High,Moderate,Yes,No,Yes,Yes,No,Yes,No,Yes,No,
2138893,None,None,,,None,None,No,No,No,No,No,No,No,No,No,
2140678,None,None,,,None,None,No,No,No,No,No,No,No,No,Yes,
2138798,High,High,Evenly distributed,"Punctate	Nuclear",High,High,No,No,Yes,Yes,Yes,No,Yes,No,No,
2140666,None,None,,,None,None,No,No,No,No,No,No,No,No,Yes,
2138576,Low,Low,Single transcripts,"Punctate	Diffuse",Moderate,Low,Yes,No,Yes,No,No,Yes,Yes,No,No,
2138616,Low,Low,"Evenly distributed	Other",Cytoplasmic,High,Low,No,No,No,Yes,No,Yes,No,Yes,No,Unusual RNA pattern expression in long RNAs
2138585,Moderate,None,Evenly distributed,,Moderate,Moderate,No,No,No,No,No,No,Yes,No,No,
2138839,High,High,Evenly distributed,Diffuse,High,High,No,No,No,No,No,Yes,Yes,Yes,No,
2138944,High,High,Evenly distributed,Nuclear,High,High,No,No,Yes,Yes,No,Yes,No,No,No,
2138935,High,High,Evenly distributed,"Diffuse	Large aggregations",High,High,No,No,Yes,Yes,No,Yes,No,No,No,
2138856,High,Moderate,Evenly distributed,"Punctate	Diffuse",High,High,No,No,Yes,Yes,No,Yes,No,Yes,No,
2138765,High,Moderate,Evenly distributed,Diffuse,High,High,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,
2138706,Moderate,Moderate,Evenly distributed,Diffuse,Moderate,Moderate,No,No,No,No,Yes,Yes,No,Yes,No,
2138677,High,Moderate,"Evenly distributed	Other","Nuclear	Diffuse	Cytoplasmic",High,High,No,No,Yes,Yes,Yes,No,Yes,No,No,
2138669,Moderate,Low,Evenly distributed,Diffuse,Low,Moderate,No,No,Yes,No,No,Yes,No,Yes,No,
2138829,Moderate,Moderate,"Evenly distributed	Other","Diffuse	Cytoplasmic",Moderate,Moderate,No,No,Yes,Yes,No,Yes,No,Yes,No,
2138837,Moderate,High,Evenly distributed,"Diffuse	Large aggregations",High,Moderate,No,No,Yes,Yes,No,No,No,No,No,
2138622,High,High,"Evenly distributed	Other","Diffuse	Cytoplasmic",High,High,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,unusual long RNA expression in long units
2138599,Moderate,High,Evenly distributed,"Large aggregations	Other",High,Moderate,No,No,Yes,No,Yes,No,Yes,No,No,
2138550,Moderate,Low,Evenly distributed,"Diffuse	Cytoplasmic",Moderate,Moderate,No,No,Yes,Yes,No,Yes,Yes,No,No,
2138796,High,High,Evenly distributed,"Diffuse	Cytoplasmic",Moderate,High,No,No,Yes,Yes,No,Yes,Yes,Yes,No,
2140668,Moderate,High,Evenly distributed,"Punctate	Nuclear",Moderate,Moderate,No,No,No,No,No,No,No,No,No,
2138566,Low,Low,Single transcripts,Cytoplasmic,Low,Low,No,No,No,Yes,No,Yes,Yes,No,No,
2139976,Moderate,High,Cell type specific,"Diffuse	Cytoplasmic",High,Moderate,No,No,No,Yes,No,Yes,No,Yes,No,
2138726,High,Low,More in some cells than others,Other,High,High,No,No,Yes,No,Yes,No,No,No,No,
2138878,Low,None,Single transcripts,,Low,Low,No,No,No,No,No,No,No,No,No,
2138909,Low,Low,Single transcripts,Punctate,Low,Low,No,No,No,No,No,No,No,No,No,
2139235,Moderate,Moderate,More in some cells than others,Cytoplasmic,High,Moderate,No,No,Yes,No,No,No,No,No,No,
2138917,Moderate,Moderate,Evenly distributed,Diffuse,Moderate,Moderate,No,No,Yes,No,No,Yes,No,Yes,No,
2138558,None,None,,,None,None,No,No,No,No,No,No,No,No,Yes,
2138554,Low,Low,Evenly distributed,Diffuse,Moderate,Low,No,No,No,Yes,No,Yes,No,Yes,No,
2138680,Low,Moderate,More in some cells than others,Cytoplasmic,Moderate,Low,No,No,No,Yes,Yes,Yes,No,Yes,No,
2138895,Low,Low,Evenly distributed,"Diffuse	Cytoplasmic",Low,Low,No,No,No,No,Yes,Yes,No,No,No,
2138682,Moderate,Low,Evenly distributed,Diffuse,High,Moderate,No,No,No,Yes,No,Yes,No,Yes,No,
2138659,Low,Moderate,More in some cells than others,Diffuse,Low,Low,No,No,No,Yes,No,Yes,Yes,Yes,No,
2138624,Low,None,Single transcripts,,Low,Low,No,No,No,No,No,No,No,No,Yes,
2138724,High,High,Evenly distributed,Cytoplasmic,High,High,No,Yes,Yes,Yes,No,No,Yes,No,No,
2139883,High,High,Evenly distributed,Cytoplasmic,High,High,No,No,Yes,Yes,No,No,No,Yes,No,
2138747,Low,Low,Single transcripts,Cytoplasmic,Low,Low,No,No,No,No,No,No,No,Yes,Yes,
2138736,Moderate,Low,More in some cells than others,Diffuse,Moderate,Moderate,No,No,No,Yes,No,No,No,Yes,No,
2138840,Moderate,Low,Evenly distributed,"Diffuse	Cytoplasmic",Moderate,Moderate,No,No,No,Yes,No,Yes,Yes,Yes,No,
2138728,None,Moderate,,"Punctate	Diffuse",None,None,No,No,No,Yes,No,Yes,No,Yes,No,
2138815,Moderate,Moderate,Single transcripts,"Punctate	Diffuse",Moderate,Moderate,No,No,No,Yes,No,No,No,No,Yes,
2138876,High,High,Evenly distributed,Diffuse,Moderate,High,No,No,Yes,Yes,No,Yes,No,Yes,No,
2138864,Moderate,Moderate,Evenly distributed,Diffuse,Moderate,Moderate,No,No,No,Yes,No,Yes,No,Yes,No,
2138919,None,Moderate,,Diffuse,None,None,No,No,No,Yes,No,No,No,Yes,No,
2138845,None,Moderate,,Diffuse,None,None,No,No,No,Yes,No,Yes,No,Yes,No,
2138750,Low,None,Single transcripts,,Low,Low,No,No,No,No,No,No,No,No,Yes,
2138838,High,High,Evenly distributed,"Cell edges	Diffuse	Large aggregations",Low,High,No,No,No,Yes,No,Yes,No,Yes,No,
2138633,Low,Moderate,Single transcripts,Diffuse,Low,Low,No,No,Yes,Yes,No,No,No,Yes,No,
2138826,Moderate,Moderate,Evenly distributed,Cytoplasmic,Moderate,Moderate,No,No,No,No,No,No,No,Yes,Yes,
2138926,High,High,Evenly distributed,"Cell edges	Diffuse",High,High,No,No,Yes,Yes,No,Yes,No,Yes,No,
2138857,None,None,,,None,None,No,No,No,No,No,No,No,No,No,
2138849,None,Low,,Cell edges,None,None,No,No,No,Yes,No,No,No,No,Yes,
2138910,Moderate,High,Evenly distributed,Large aggregations,Moderate,Moderate,No,No,No,Yes,No,Yes,No,Yes,No,
2139875,High,High,Evenly distributed,Nuclear,Moderate,High,No,No,Yes,Yes,No,No,No,No,No,
2139879,High,None,Evenly distributed,,High,High,No,No,Yes,No,No,No,No,No,No,
2138795,Moderate,Low,Evenly distributed,Diffuse,Moderate,Moderate,No,No,No,No,Yes,Yes,No,No,No,
2140667,None,None,,,None,None,No,No,No,No,No,No,No,No,Yes,
2138799,None,None,,,None,None,No,No,No,No,No,No,No,No,No,
2138892,Moderate,Low,Evenly distributed,Cytoplasmic,Moderate,Moderate,No,No,Yes,Yes,No,Yes,No,No,No,
2138579,None,Low,,Cytoplasmic,None,None,Yes,No,No,No,No,Yes,No,Yes,No,
2138797,High,Moderate,Evenly distributed,Diffuse,High,High,No,No,Yes,Yes,Yes,Yes,No,Yes,No,
2138936,None,High,,"Diffuse	Large aggregations",None,None,No,No,No,Yes,No,Yes,No,Yes,No,
2138836,High,High,Evenly distributed,"Nuclear	Cytoplasmic",Moderate,High,No,No,Yes,Yes,No,No,No,No,No,
2138594,Moderate,Moderate,Evenly distributed,Diffuse,Moderate,Moderate,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No RNA or protein expression in control
2140574,None,None,,,None,None,No,No,No,No,No,No,No,No,Yes,
2140578,Moderate,Moderate,Evenly distributed,"Cell edges	Cytoplasmic",High,Moderate,No,No,No,No,Yes,No,No,Yes,No,
2138631,Low,Low,Single transcripts,Diffuse,Low,Low,No,No,No,No,No,Yes,No,Yes,Yes,
2138731,High,High,Evenly distributed,"Nuclear	Cytoplasmic",High,High,No,Yes,Yes,Yes,No,No,Yes,No,No,
2139896,High,High,Evenly distributed,Diffuse,High,High,No,No,Yes,Yes,Yes,Yes,No,Yes,No,
2138800,Moderate,High,Evenly distributed,Nuclear,Moderate,Moderate,No,No,Yes,Yes,Yes,No,No,No,No,
2138863,High,High,Evenly distributed,"Nuclear	Cytoplasmic",Moderate,High,No,No,Yes,Yes,No,No,No,No,No,
2138693,Moderate,Moderate,Evenly distributed,"Diffuse	Cytoplasmic",Moderate,Moderate,Yes,No,No,No,No,Yes,No,Yes,No,
2138894,Low,None,Single transcripts,,Low,Low,No,No,No,No,No,No,Yes,No,No,
2140583,None,None,,,None,None,No,No,No,No,No,No,No,No,Yes,
2138879,High,High,Evenly distributed,"Diffuse	Cytoplasmic",High,High,No,No,Yes,Yes,No,No,Yes,No,No,
2138772,High,Low,Evenly distributed,Diffuse,Moderate,High,No,No,Yes,No,No,Yes,No,No,No,
2138908,Low,Low,Single transcripts,Diffuse,High,Low,No,No,No,No,Yes,Yes,No,No,No,
2138875,Moderate,Moderate,Evenly distributed,Diffuse,Moderate,Moderate,No,No,Yes,Yes,No,Yes,No,Yes,No,
2138660,Low,None,Single transcripts,,Low,Low,Yes,No,No,No,Yes,No,No,No,No,
2138648,High,Moderate,Evenly distributed,"Punctate	Diffuse",High,High,No,No,Yes,Yes,Yes,Yes,No,Yes,No,
2138756,High,High,Evenly distributed,"Nuclear	Cytoplasmic",High,High,No,No,Yes,Yes,Yes,No,Yes,No,No,
2138590,Moderate,None,Evenly distributed,,High,Moderate,No,No,Yes,No,Yes,No,Yes,No,No,
2138627,Moderate,Low,Evenly distributed,"Diffuse	Large aggregations",High,Moderate,Yes,No,Yes,No,Yes,Yes,No,No,No,
2138744,None,None,,,None,None,No,No,No,No,No,No,No,No,Yes,
2138644,Low,None,More in some cells than others,,Low,Low,Yes,No,No,No,No,No,No,No,Yes,
2138662,Moderate,Moderate,"Evenly distributed	Single transcripts","Diffuse	Large aggregations	Cytoplasmic	Other",Moderate,Moderate,No,No,No,Yes,No,Yes,No,Yes,No,
2138877,High,High,Evenly distributed,Diffuse,None,High,No,No,N/A,No,No,Yes,No,Yes,No,
2138814,None,None,,,None,None,No,No,No,No,No,No,No,No,No,
2138818,Moderate,High,Evenly distributed,Cytoplasmic,Moderate,Moderate,No,No,Yes,No,No,No,No,No,No,
2138853,Low,Low,Evenly distributed,Diffuse,Low,Low,No,No,No,No,No,No,No,Yes,No,
2138758,Moderate,Low,More in some cells than others,Other,High,Moderate,No,No,No,No,No,No,No,Yes,No,
2138658,Moderate,Low,Evenly distributed,Diffuse,Moderate,Moderate,No,No,Yes,Yes,No,Yes,No,Yes,No,
2138754,Low,Low,Single transcripts,Diffuse,High,Low,No,No,No,No,No,Yes,No,Yes,No,
